"locale","name","region","state","SA1_MAINCO","SA1_7DIGIT","SA2_MAINCO"
"adelaide","Adelaide","GCCSA","SA",40103101125,4101125,401031011
"adelaide","Adelaide","GCCSA","SA",40103101126,4101126,401031011
"adelaide","Adelaide","GCCSA","SA",40103101127,4101127,401031011
"adelaide","Adelaide","GCCSA","SA",40103101128,4101128,401031011
"adelaide","Adelaide","GCCSA","SA",40103101129,4101129,401031011
"adelaide","Adelaide","GCCSA","SA",40103101130,4101130,401031011
"adelaide","Adelaide","GCCSA","SA",40103101131,4101131,401031011
"adelaide","Adelaide","GCCSA","SA",40103101132,4101132,401031011
"adelaide","Adelaide","GCCSA","SA",40103101133,4101133,401031011
"adelaide","Adelaide","GCCSA","SA",40103101134,4101134,401031011
"adelaide","Adelaide","GCCSA","SA",40103101135,4101135,401031011
"adelaide","Adelaide","GCCSA","SA",40103101136,4101136,401031011
"adelaide","Adelaide","GCCSA","SA",40103101137,4101137,401031011
"adelaide","Adelaide","GCCSA","SA",40103101138,4101138,401031011
"adelaide","Adelaide","GCCSA","SA",40103101139,4101139,401031011
"adelaide","Adelaide","GCCSA","SA",40103101140,4101140,401031011
"adelaide","Adelaide","GCCSA","SA",40103101141,4101141,401031011
"adelaide","Adelaide","GCCSA","SA",40103101142,4101142,401031011
"adelaide","Adelaide","GCCSA","SA",40103101143,4101143,401031011
"adelaide","Adelaide","GCCSA","SA",40103101144,4101144,401031011
"adelaide","Adelaide","GCCSA","SA",40103101201,4101201,401031012
"adelaide","Adelaide","GCCSA","SA",40103101202,4101202,401031012
"adelaide","Adelaide","GCCSA","SA",40103101203,4101203,401031012
"adelaide","Adelaide","GCCSA","SA",40103101204,4101204,401031012
"adelaide","Adelaide","GCCSA","SA",40103101205,4101205,401031012
"adelaide","Adelaide","GCCSA","SA",40103101206,4101206,401031012
"adelaide","Adelaide","GCCSA","SA",40103101207,4101207,401031012
"adelaide","Adelaide","GCCSA","SA",40103101208,4101208,401031012
"adelaide","Adelaide","GCCSA","SA",40103101209,4101209,401031012
"adelaide","Adelaide","GCCSA","SA",40103101210,4101210,401031012
"adelaide","Adelaide","GCCSA","SA",40103101211,4101211,401031012
"adelaide","Adelaide","GCCSA","SA",40103101212,4101212,401031012
"adelaide","Adelaide","GCCSA","SA",40103101213,4101213,401031012
"adelaide","Adelaide","GCCSA","SA",40103101214,4101214,401031012
"adelaide","Adelaide","GCCSA","SA",40103101215,4101215,401031012
"adelaide","Adelaide","GCCSA","SA",40103101216,4101216,401031012
"adelaide","Adelaide","GCCSA","SA",40103101217,4101217,401031012
"adelaide","Adelaide","GCCSA","SA",40103101218,4101218,401031012
"adelaide","Adelaide","GCCSA","SA",40103101219,4101219,401031012
"adelaide","Adelaide","GCCSA","SA",40103101220,4101220,401031012
"adelaide","Adelaide","GCCSA","SA",40103101221,4101221,401031012
"adelaide","Adelaide","GCCSA","SA",40103101301,4101301,401031013
"adelaide","Adelaide","GCCSA","SA",40103101302,4101302,401031013
"adelaide","Adelaide","GCCSA","SA",40103101303,4101303,401031013
"adelaide","Adelaide","GCCSA","SA",40103101304,4101304,401031013
"adelaide","Adelaide","GCCSA","SA",40103101305,4101305,401031013
"adelaide","Adelaide","GCCSA","SA",40103101306,4101306,401031013
"adelaide","Adelaide","GCCSA","SA",40103101307,4101307,401031013
"adelaide","Adelaide","GCCSA","SA",40103101308,4101308,401031013
"adelaide","Adelaide","GCCSA","SA",40103101309,4101309,401031013
"adelaide","Adelaide","GCCSA","SA",40103101310,4101310,401031013
"adelaide","Adelaide","GCCSA","SA",40103101311,4101311,401031013
"adelaide","Adelaide","GCCSA","SA",40103101312,4101312,401031013
"adelaide","Adelaide","GCCSA","SA",40103101313,4101313,401031013
"adelaide","Adelaide","GCCSA","SA",40103101314,4101314,401031013
"adelaide","Adelaide","GCCSA","SA",40103101315,4101315,401031013
"adelaide","Adelaide","GCCSA","SA",40103101316,4101316,401031013
"adelaide","Adelaide","GCCSA","SA",40103101317,4101317,401031013
"adelaide","Adelaide","GCCSA","SA",40103101318,4101318,401031013
"adelaide","Adelaide","GCCSA","SA",40103101319,4101319,401031013
"adelaide","Adelaide","GCCSA","SA",40103101320,4101320,401031013
"adelaide","Adelaide","GCCSA","SA",40103101321,4101321,401031013
"adelaide","Adelaide","GCCSA","SA",40103101322,4101322,401031013
"adelaide","Adelaide","GCCSA","SA",40103101323,4101323,401031013
"adelaide","Adelaide","GCCSA","SA",40103101324,4101324,401031013
"adelaide","Adelaide","GCCSA","SA",40103101325,4101325,401031013
"adelaide","Adelaide","GCCSA","SA",40103101326,4101326,401031013
"adelaide","Adelaide","GCCSA","SA",40103101327,4101327,401031013
"adelaide","Adelaide","GCCSA","SA",40103101328,4101328,401031013
"adelaide","Adelaide","GCCSA","SA",40103101329,4101329,401031013
"adelaide","Adelaide","GCCSA","SA",40103101330,4101330,401031013
"adelaide","Adelaide","GCCSA","SA",40103101331,4101331,401031013
"adelaide","Adelaide","GCCSA","SA",40103101332,4101332,401031013
"adelaide","Adelaide","GCCSA","SA",40103101333,4101333,401031013
"adelaide","Adelaide","GCCSA","SA",40103101334,4101334,401031013
"adelaide","Adelaide","GCCSA","SA",40103101335,4101335,401031013
"adelaide","Adelaide","GCCSA","SA",40103101336,4101336,401031013
"adelaide","Adelaide","GCCSA","SA",40104101401,4101401,401041014
"adelaide","Adelaide","GCCSA","SA",40104101402,4101402,401041014
"adelaide","Adelaide","GCCSA","SA",40104101403,4101403,401041014
"adelaide","Adelaide","GCCSA","SA",40104101404,4101404,401041014
"adelaide","Adelaide","GCCSA","SA",40104101405,4101405,401041014
"adelaide","Adelaide","GCCSA","SA",40104101406,4101406,401041014
"adelaide","Adelaide","GCCSA","SA",40104101408,4101408,401041014
"adelaide","Adelaide","GCCSA","SA",40104101409,4101409,401041014
"adelaide","Adelaide","GCCSA","SA",40104101410,4101410,401041014
"adelaide","Adelaide","GCCSA","SA",40104101411,4101411,401041014
"adelaide","Adelaide","GCCSA","SA",40104101412,4101412,401041014
"adelaide","Adelaide","GCCSA","SA",40104101413,4101413,401041014
"adelaide","Adelaide","GCCSA","SA",40104101414,4101414,401041014
"adelaide","Adelaide","GCCSA","SA",40104101415,4101415,401041014
"adelaide","Adelaide","GCCSA","SA",40104101416,4101416,401041014
"adelaide","Adelaide","GCCSA","SA",40104101417,4101417,401041014
"adelaide","Adelaide","GCCSA","SA",40104101418,4101418,401041014
