"city","range_value","BIKE","CAR","PT","WALK","walk_time","bike_time","pt_time","car_time"
"Hobart",36.375,0,53.5,2.25,0.375,480.832782551223,166.615772196351,79.9542072123641,47.9476694851255
"Hobart",36.625,0,53.5,2.25,0.375,484.137475214805,167.760897778456,80.1301773529693,48.0931003635707
"Hobart",36.875,0,53.5,2.25,0.375,487.442167878387,168.906023360562,80.3045220066149,48.2374262471555
"Hobart",37.125,0,53.5,2.25,0.375,490.74686054197,170.051148942667,80.477263592393,48.3806596819691
"Hobart",37.375,0,53.5,2.25,0.375,494.051553205552,171.196274524773,80.6484241190036,48.5228130248862
"Hobart",37.625,0,53.5,2.25,0.375,497.356245869134,172.341400106878,80.818025194102,48.6638984471205
"Hobart",37.875,0,53.5,2.25,0.375,500.660938532717,173.486525688984,80.9860880333923,48.8039279376985
"Hobart",38.125,0,53.25,2,0.5,503.965631196299,174.631651271089,81.1526334694746,48.942913306856
"Hobart",38.375,0,53.25,2,0.5,507.270323859881,175.776776853195,81.3176819604536,49.0808661893584
"Hobart",38.625,0,53.25,2,0.5,510.575016523463,176.9219024353,81.4812535983159,49.2177980477471
"Hobart",38.875,0,53.25,2,0.5,513.879709187046,178.067028017406,81.6433681170834,49.3537201755152
"Hobart",39.125,0,53.25,2,0.5,517.184401850628,179.212153599511,81.8040449007505,49.4886437002116
"Hobart",39.375,0,53.25,2,0.5,520.48909451421,180.357279181617,81.9633029910101,49.6225795864785
"Hobart",39.625,0,53.25,2,0.5,523.793787177793,181.502404763722,82.1211610947761,49.7555386390212
"Hobart",39.875,0,53.25,2,0.5,527.098479841375,182.647530345828,82.2776375915091,49.8875315055139
"Hobart",40.125,0.375,54.125,1.375,0.375,530.403172504957,183.792655927933,82.4327505403497,50.0185686794423
"Hobart",40.375,0.375,54.125,1.375,0.375,533.707865168539,184.937781510039,82.5865176870661,50.1486605028839
"Hobart",40.625,0.375,54.125,1.375,0.375,537.012557832122,186.082907092144,82.7389564708229,50.27781716923
"Hobart",40.875,0.375,54.125,1.375,0.375,540.317250495704,187.22803267425,82.8900840307733,50.4060487258471
"Hobart",41.125,0.375,54.125,1.375,0.375,543.621943159286,188.373158256355,83.0399172124838,50.5333650766832
"Hobart",41.375,0.375,54.125,1.375,0.375,546.926635822869,189.518283838461,83.1884725741931,50.6597759848174
"Hobart",41.625,0.375,54.125,1.375,0.375,550.231328486451,190.663409420566,83.3357663929127,50.7852910749553
"Hobart",41.875,0.375,54.125,1.375,0.375,553.536021150033,191.808535002672,83.4818146703714,50.9099198358725
"Hobart",42.125,0,29.375,0.875,0,556.840713813615,192.953660584777,83.6266331388111,51.0336716228051
"Hobart",42.375,0,29.375,0.875,0,560.145406477198,194.098786166883,83.7702372666356,51.1565556597913
"Hobart",42.625,0,29.375,0.875,0,563.45009914078,195.243911748988,83.9126422639188,51.2785810419627
"Hobart",42.875,0,29.375,0.875,0,566.754791804362,196.389037331094,84.0538630877746,51.3997567377888
"Hobart",43.125,0,29.375,0.875,0,570.059484467945,197.534162913199,84.1939144475944,51.5200915912739
"Hobart",43.375,0,29.375,0.875,0,573.364177131527,198.679288495305,84.332810810154,51.6395943241091
