"city","mode","Nil distance","Over 0 km  to less than 0.5 km","0.5 km to less than 1 km","1 km to less than 1.5 km","1.5 km to less than 2 km","2 km to less than 2.5 km","2.5 km to less than 3 km","3 km to less than 4 km","4 km to less than 5 km","5 km to less than 6 km","6 km to less than 7 km","7 km to less than 8 km","8 km to less than 9 km","9 km to less than 10 km","10 km to less than 11 km","11 km to less than 12 km","12 km to less than 13 km","13 km to less than 14 km","14 km to less than 15 km","15 km to less than 16 km","16 km to less than 17 km","17 km to less than 18 km","18 km to less than 19 km","19 km to less than 20 km","20 km to less than 21 km","21 km to less than 22 km","22 km to less than 23 km","23 km to less than 24 km","24 km to less than 25 km","25 km to less than 26 km","26 km to less than 27 km","27 km to less than 28 km","28 km to less than 29 km","29 km to less than 30 km","30 km to less than 32 km","32 km to less than 34 km","34 km to less than 36 km","36 km to less than 38 km","38 km to less than 40 km","40 km to less than 42 km","42 km to less than 44 km","44 km to less than 46 km","46 km to less than 48 km","48 km to less than 50 km","50 km to less than 52 km","52 km to less than 54 km","54 km to less than 56 km","56 km to less than 58 km","58 km to less than 60 km","60 km to less than 62 km","62 km to less than 64 km","64 km to less than 66 km","66 km to less than 68 km","68 km to less than 70 km","70 km to less than 72 km","72 km to less than 74 km","74 km to less than 76 km","76 km to less than 78 km","78 km to less than 80 km","80 km to less than 85 km","85 km to less than 90 km","90 km to less than 95 km","95 km to less than 100km","100 km to less than 110 km","110 km to less than 120 km","120 km to less than 130 km","130 km to less than 140 km","140 km to less than 150 km","150 km to less than 200 km","200 km to less than 250 km","250 km to less than 300 km","300 km to less than 350 km","350 km to less than 400 km","400 km to less than 600 km","600 km to less than 800 km","800 km to less than 1000 km","1000 km to less than 3000 km","3000 km and over","Not applicable",
,"BIKE",92,67,211,429,486,575,632,1337,1145,960,868,811,676,603,559,445,315,237,192,158,143,112,85,77,58,42,48,34,28,21,23,22,13,13,29,18,16,15,6,0,16,0,0,0,4,0,6,0,0,0,4,0,0,0,0,0,0,0,0,3,0,3,3,4,5,4,0,0,3,3,3,4,0,7,8,25,58,18,136,
,"WALK",2024,3196,5085,5133,3616,2496,1800,1987,833,468,308,243,226,137,134,120,80,60,67,69,65,41,53,74,36,34,24,40,29,17,14,18,29,23,37,38,37,45,26,18,24,18,12,12,4,3,4,3,20,14,6,16,7,0,3,4,7,15,8,19,15,14,16,19,14,17,8,9,29,32,13,29,28,135,80,279,660,140,433,
"Cairns","PT",12,8,12,15,21,48,40,102,101,112,80,52,49,55,40,59,48,30,32,29,29,17,20,15,25,24,15,11,11,11,3,11,3,5,7,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,8,7,20,62,204,50,43,
,"CAR",1419,367,625,967,1219,1460,1475,2914,3234,3555,3318,2753,2424,2269,2129,2160,1849,1980,1603,1392,1306,1082,972,852,870,709,568,425,307,200,162,109,89,71,103,60,45,24,50,39,47,46,40,47,50,39,39,66,47,48,35,46,49,24,25,15,34,39,29,54,55,30,25,48,24,12,11,13,13,6,4,120,179,31,83,135,758,137,2138,
,"BIKE",7,12,46,98,116,102,106,138,111,109,83,54,53,33,34,17,19,24,4,8,3,6,4,5,7,7,3,5,0,3,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,22,3,33,
,"WALK",130,305,398,310,219,156,74,83,44,31,23,14,12,12,12,12,6,8,6,5,5,9,0,8,3,6,8,4,0,8,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,3,4,5,5,26,23,99,30,45,
"Townsville","PT",15,5,11,7,22,12,28,70,65,73,57,60,48,44,40,30,30,26,15,11,4,4,8,14,6,8,7,7,3,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,26,17,19,6,0,40,175,54,102,69,48,
,"CAR",1747,375,673,1010,1349,1557,1906,4100,4432,4211,4427,4142,4034,3819,3359,2994,2410,2162,1724,1694,1319,1217,985,1002,830,519,511,480,249,141,181,116,78,59,70,58,18,9,21,6,7,16,33,34,31,20,20,13,19,11,7,5,0,4,3,10,0,5,4,25,42,48,33,56,31,18,33,23,89,75,60,82,64,304,235,125,860,84,2385,
,"BIKE",50,10,24,54,68,72,73,155,127,109,93,66,66,48,39,53,26,28,9,12,3,9,4,0,6,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,22,0,27,
,"WALK",385,230,285,219,162,98,82,77,50,36,32,20,14,17,29,18,14,12,3,3,4,4,8,5,4,4,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,3,0,30,8,3,16,6,9,42,19,155,7,50,
"Bendigo","PT",14,6,0,19,16,31,36,63,64,44,42,50,30,26,9,11,12,5,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,7,3,6,7,4,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,3,39,168,0,0,0,0,0,5,6,14,13,18,
,"CAR",631,238,380,819,1175,1376,1437,2941,2932,2626,2371,2292,2202,1625,1115,799,660,520,362,231,213,142,107,93,76,53,61,37,52,35,18,36,33,31,124,179,146,174,193,201,148,136,85,56,43,37,39,34,36,30,32,42,58,44,29,32,22,25,23,50,51,53,54,69,76,72,78,138,411,49,15,14,14,4,26,16,38,20,1454,
,"BIKE",9,3,16,20,34,43,36,48,44,30,10,14,15,6,6,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,3,3,
,"WALK",71,139,232,242,171,98,61,74,37,33,12,11,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,28,5,0,0,0,3,0,5,8,8,16,
"Melbourne","PT",2161,1025,1221,2412,4020,5091,6018,13394,15541,16189,15811,15667,14690,13042,11289,10162,9625,9309,8897,8039,7821,7393,7341,7199,7434,7709,7432,6836,6396,6279,6307,6060,5483,5226,9024,5844,4410,3786,3705,3404,3361,2625,2178,1584,892,792,1173,697,477,421,281,248,186,147,128,123,136,84,81,156,80,79,31,62,50,27,33,35,95,45,45,26,33,28,181,706,213,480,4166,
,"CAR",38458,9078,11690,17952,22566,25105,26141,54828,55412,55401,55081,54716,52999,51722,49322,47315,44205,41331,38603,36241,33893,31409,29764,27547,26507,25421,24177,22814,21900,21089,20074,18586,16947,15563,27988,23569,19329,16355,13992,12138,10887,9192,7722,6385,4963,4208,3678,3109,2534,2069,1775,1630,1432,1147,1038,923,791,731,629,1278,981,735,637,925,591,474,394,354,1002,572,417,272,129,334,721,2056,1333,707,74059,
